PN,text,frequency
positive,좋,134
positive,잘,124
positive,받,96
positive,쓰,56
positive,챙겨주,31
positive,다,26
positive,많이,26
positive,저렴,23
positive,만족,22
positive,많,21
positive,만족스럽,13
positive,그냥,12
positive,모두,11
positive,필요,10
positive,감사,8
positive,빠짐없이,7
positive,마음,7
positive,꼭,7
positive,챙기,6
positive,푸짐,5
positive,빵빵,5
positive,특별히,1
positive,이것저것,1
positive,특별,1
positive,그럭저럭,0
positive,풍년,0
positive,젤로,0
negative,없,28
negative,좀,13
negative,아쉽,11
negative,누락,7
negative,불편,4
negative,빠지,2
negative,어렵,1
negative,어쩌,0
negative,곰팡이,0
negative,싸구려,0
negative,밖에,0
negative,까다롭,0
negative,복잡,0
